document_id,category,original_text,stemmed_text,word_count,keyword_percentage
12571,Twitter,"she slept with a lot of known niggas, a straight hoe.","she sleep with a lot of know nigga , a straight hoe .",11,1
12572,Twitter,"wondering why we bother with love if it never lasts. &lt;3","wonder why we bother with love if it never last . &lt; 3",11,1
12573,Twitter,"TrulyTash: What's 1 special memory that you have about your mom?. . . . . . . . . GO! MyMom ___________!&gt;She was a gr8 pryr! ~MyJehovaJireh~","trulytash : what ' 1 special memory that you have about your mom ? ... ... go ! mymom ! &gt; she be a gr8 pryr ! ~ myjehovajireh ~",27,1
12574,Twitter,"“ Rolle_Island: Someone rewind the tapes for LifeofMo . . . ”we just did got us in here cryin laughin","`` rolle island : someone rewind the tape for lifeofmo ... '' we just do get us in here cryin laughin",20,1
12575,Twitter,"Studub I learnt what a rent boy was when the Newcastle fans where shouting it at jjenas8. True story","studub i learn what a rent boy be when the newcastle fan where shout it at jjenas8 . true story",19,1
12576,Twitter,"Im gonna run out of tears.","im gonna run out of tear .",6,1
12577,Twitter,"CABelieberGuy what's ur name?:)","cabelieberguy what ' ur name ? : -RRB-",4,1
12578,Twitter,"__Al73__ What gig are you at????","al73 what gig be you at ? ? ? ?",6,1
12579,Twitter,"“ BaNgBaNg_0h_Kay: i am sooooo hungry, who wants to order me some pizza? :) pweeez?” SMH!!!!!!!","`` bangbang 0h kay : i be sooooo hungry , who want to order me some pizza ? : -RRB- pweeez ? '' smh ! ! ! ! ! ! !",16,1
12580,Twitter,"NimoElCapitan I mean, we still have time. . . we're mid-twenties. Gotta be patient, especially if you want the right one.","nimoelcapitan i mean , we still have time ... we 're mid-twenties . gotta be patient , especially if you want the right one .",21,1
12581,Twitter,"I texted back. . O. e RT NaughtysSwag: Aine what takes so long to answer a text.","i texted back . . o. e rt naughtysswag : aine what take so long to answer a text .",17,0.5
12582,Twitter,"maximinxy hehe I was a bit of a minx back in the 90's try before u buy and all that xx","maximinxy hehe i be a bit of a minx back in the 90 's try before u buy and all that xx",21,1
12583,Twitter,"plusnet pretty please can you turn my broadband on tonight/tomorrow? :)","plusnet pretty please can you turn my broadband on tonight/tomorrow ? : -RRB-",11,1
12584,Twitter,"Im so glad the weather is nice??","im so glad the weather be nice ? ?",7,1
12585,Twitter,"shit istill needa get mine -_- lol RT ErrybodyStackzz Got my prom shoes n watch pshhh have no idea how much money I just fuckin spent! Lol","shit istill needa get mine - - lol rt errybodystackzz get my prom shoe n watch pshhh have no idea how much money i just fuckin spend ! lol",27,1
12586,Twitter,"IamAnnabelleLee The you'd better get revising, my dear. I expect the best from my future wife","iamannabellelee the you 'd better get revise , my dear . i expect the best from my future wife",16,1
12587,Twitter,"M_Cyruss u love who? hahahha","m cyruss u love who ? hahahha",5,1
12588,Twitter,"- Ima take all this money iown and blow it all away, Because icant take it when im gone","- ima take all this money iown and blow it all away , because icant take it when im go",19,1
12589,Twitter,"_jayface5 what u got up for today","jayface5 what u get up for today",7,1
12590,Twitter,"ianmcconnell if there is anyone following you that doesnt know you are in Alaska, thats the funniest thing ever.","ianmcconnell if there be anyone follow you that doesnt know you be in alaska , that the funny thing ever .",19,1
12591,Twitter,"when you talk to that special person and all you can do is smile REAL BIG &gt;&gt;","when you talk to that special person and all you can do be smile real big &gt; &gt;",17,1
12592,Twitter,"_TRIXXnDIPP i'm puttin in a application ! you work to hard , lol","trixxndipp i 'm puttin in a application ! you work to hard , lol",13,1
12593,Twitter,"dev1antl0ve coolz. I wanna a pic when u done.","dev1antl0ve coolz . i wanna a pic when u do .",9,1
12594,Twitter,"Kate_Humphrey Matt_Moulden shaattaappp. My bag is twice the size of meeee ! XD","kate humphrey matt moulden shaattaappp . my bag be twice the size of meeee ! xd",13,1
12595,Twitter,"lickmyspoon247 They should've had a LIKE button on twitter! cute pic. .","lickmyspoon247 they should 've have a like button on twitter ! cute pic . .",12,1
12596,Twitter,"I hate when my dog barks it's annoying -__-","i hate when my dog bark it ' annoy - -",9,0.5
12597,Twitter,"Really want to see the film captivity but I can't find it anywhere!!!","really want to see the film captivity but i ca n't find it anywhere ! ! !",13,1
12598,Twitter,"Just cause you're sitting in the bleachers and I'm standing on the floor, doesn't mean I can't see you staring at me.","just cause you 're sit in the bleacher and i 'm stand on the floor , do n't mean i ca n't see you star at me .",22,1
12599,Twitter,"An GeorgeMichael tour is coming! WhenWhenWhenWhenWhen?! Too exciting! x","an georgemichael tour be come ! whenwhenwhenwhenwhen ? ! too exciting ! x",9,1
12600,Twitter,"I love good hair days!!","i love good hair day ! !",5,1
12601,Twitter,"RT MelodyyZora: RT JennaAtchu: Love listening to lies when I know the truth","rt melodyyzora : rt jennaatchu : love listen to lie when i know the truth",13,1
12602,Twitter,"moonmanishere where you watching the game tonight?","moonmanishere where you watch the game tonight ?",7,1
12603,Twitter,"Gtta pre game before I hit the club","gtta pre game before i hit the club",8,1
12604,Twitter,"i NEED LOVE! cause only love is true! i need every waking hour with you. and my friends, cause there so beautiful.","i need love ! cause only love be true ! i need every wake hour with you . and my friend , cause there so beautiful .",22,1
12605,Twitter,"I still love mr k!!!!!! He is the best!","i still love mr k ! ! ! ! ! ! he be the best !",9,0.5
12606,Twitter,"Feels so funny bending down! My nipple rings slide downward feels great haha","feel so funny bend down ! my nipple ring slide downward feel great haha",13,1
12607,Twitter,"OptaJoe Hope Cahill bangs in a few more against City. It would great if Spurs could go to Eastlands with a sporting chance of catching mcfc","optajoe hope cahill bang in a few more against city . it would great if spur could go to eastland with a sport chance of catch mcfc",26,1
12608,Twitter,"RT AuthenticCami: Don’t pee in my pool, cause I don’t swim in your toilet.","rt authenticcami : do n't pee in my pool , cause i do n't swim in your toilet .",14,1
12609,Twitter,"Finally goin home! Sooooo tired been out walkin in chicago all day!!! naptime here i cum!!","finally goin home ! sooooo tired be out walkin in chicago all day ! ! ! naptime here i cum ! !",16,1
12610,Twitter,"That dog is so cute, it looks incredibly sad though :( paulogrady","that dog be so cute , it look incredibly sad though : -LRB- paulogrady",12,1
12611,Twitter,"TrudySweetie tht was a waste of my time neveragain","trudysweetie tht be a waste of my time neveragain",9,0.5
12612,Twitter,"*sigh* When you're no longer in school, weekends are meaningless imissfridays","* sigh * when you 're no longer in school , weekend be meaningless imissfriday",11,1
12613,Twitter,"zezeeraj wht do u think about twitter nw av u got the hang of ittt","zezeeraj wht do u think about twitter nw av u get the hang of ittt",15,1
12614,Twitter,"RT fatbellybella: . . ran like a cheetah with thoughts of an assassin. . -Nasir Jones","rt fatbellybella : . . run like a cheetah with thought of an assassin . . - nasir jones",16,1
12615,Twitter,"I think ima make a mission to the gym today","i think ima make a mission to the gym today",10,1
