document_id,category,original_text,stemmed_text,word_count,keyword_percentage
15044,Questions,"How to check if an uploaded file is an image without mime type? 
 I'd like to check if an uploaded file is an image file (e. g png, jpg, jpeg, gif, bmp) or another file. The problem is that I'm using Uploadify to upload the files, which changes the mime type and gives a 'text/octal' or something as the mime type, no matter which file type you upload. Is there a way to check if the uploaded file is an image apart from checking the file extension using PHP?","how to check if an uploaded file be an image without mime type ? i 'd like to check if an uploaded file be an image file -LRB- e. g png , jpg , jpeg , gif , bmp -RRB- or another file . the problem be that i 'm use uploadify to upload the file , which change the mime type and give a ` text/octal ' or something as the mime type , no matter which file type you upload . be there a way to check if the uploaded file be an image apart from check the file extension use php ?",90,0.4
15045,Questions,"How can I prevent firefox from closing when I press ctrl-w
 In my favorite editor (vim), I regularly use ctrl-w to execute a certain action. Now, it quite often happens to me that firefox is the active window (on windows) while I still look at vim (thinking vim is the active window) and press ctrl-w which closes firefox. This is not what I want. Is there a way to stop ctrl-w from closing firefox? Rene","how can i prevent firefox from close when i press ctrl-w in my favorite editor -LRB- vim -RRB- , i regularly use ctrl-w to execute a certain action . now , it quite often happen to me that firefox be the active window -LRB- on window -RRB- while i still look at vim -LRB- think vim be the active window -RRB- and press ctrl-w which close firefox . this be not what i want . be there a way to stop ctrl-w from close firefox ? rene",75,1
15046,Questions,"R Error Invalid type (list) for variable
 I am import matlab file and construct a data frame, matlab file contains two columns with and each row maintain a cell that has a matrix, I construct a dataframe to run random forest. But I am getting following error. Here is the code how I import the matlab file and construct the dataframe: Structure of the Matlab input file After loading the matlab file into R","r error invalid type -LRB- list -RRB- for variable i be import matlab file and construct a data frame , matlab file contain two column with and each row maintain a cell that have a matrix , i construct a dataframe to run random forest . but i be get following error . here be the code how i import the matlab file and construct the dataframe : structure of the matlab input file after load the matlab file into r",74,0.6666666666666666
15047,Questions,"How do I replace special characters in a URL? 
 This is probably very simple, but I simply cannot find the answer myself : ( Basicaly, what I want is, given this string:  objects I want this output:  I'm sure there's some helper class somewhere buried in the Framework that takes care of that for me, but I'm having trouble finding it. EDIT: I should add, that this is for a Winforms App.","how do i replace special character in a url ? this be probably very simple , but i simply can not find the answer myself : -LRB- basicaly , what i want be , give this string : object i want this output : i 'm sure there ' some help class somewhere bury in the framework that take care of that for me , but i 'm have trouble find it . edit : i should add , that this be for a winform app .",75,0.3333333333333333
15048,Questions,"How to modify whois contact details? 
 using this modify function, displays warning mesage Warning: file_get_contents() [function. file-get-contents]: failed to open stream: HTTP request failed! HTTP/1. 0 400 Bad request in /home/gfdgfd/public_html/new_one/customer/account/class. whois. php on line 49 Please help me, modify contact details.","how to modify whois contact detail ? use this modify function , display warn mesage warning : file get content -LRB- -RRB- -LRB- function . file-get-content -RRB- : fail to open stream : http request fail ! http/1 . 0 400 bad request in / home/gfdgfd/public html/new one/customer/account / class . whoi . php on line 49 please help me , modify contact detail .",43,0.6666666666666666
15049,Questions,"setting proxy in active directory environment
 I am using a machine on which active directory is configured. I am developing an application on the same machine. Now I want to do some performance testing of that application using the JMeter. Now when I start the JMeter proxy server, and set it in browser and try to browse the application I get an error Internet Explorer cannot display the webpage. Am I missing anything?","set proxy in active directory environment i be use a machine on which active directory be configure . i be develop an application on the same machine . now i want to do some performance testing of that application use the jmeter . now when i start the jmeter proxy server , and set it in browser and try to browse the application i get an error internet explorer can not display the webpage . be i miss anything ?",73,0.6666666666666666
15050,Questions,"How to draw barplot in this way with Coreplot
 My image is cannot post so the link is my picture I want to draw a chart like the image in iOS app I use the CorePlot to help me to make this My Question: How to draw 3 barPlot whit 3 kinds color How to draw a barPlot from the CPTXYAxis 0 to -4000 in the Upside down way Any help would be appreciate Thanks all","how to draw barplot in this way with coreplot my image be can not post so the link be my picture i want to draw a chart like the image in io app i use the coreplot to help me to make this my question : how to draw 3 barplot whit 3 kind color how to draw a barplot from the cptxyaxi 0 to -4000 in the upside down way any help would be appreciate thanks all",76,0
15051,Questions,"How to fetch an XML feed using asp. net
 I've decided to convert a Windows Phone 7 app that fetches an XML feed and then parses it to an asp. net web app, using Visual Web Developer Express. I figure since the code already works for WP7, it should be a matter of mostly copying and pasting it for the C code behind. That's the first line of code from my WP7 app that fetches the XML feed, but I can't even get HttpWebRequest to work in Visual Web Developer like that. Intellisense shows a create and createdefault, but no CreateHttp like there was in Windows Phone 7. I just need to figure out how to fetch the page, I assume the parsing will be the same as on my phone app. Any help? Thanks, Amanda","how to fetch an xml feed use asp . net i 've decide to convert a window phone 7 app that fetch an xml feed and then parse it to an asp . net web app , use visual web developer express . i figure since the code already work for wp7 , it should be a matter of mostly copy and paste it for the c code behind . that ' the first line of code from my wp7 app that fetch the xml feed , but i ca n't even get httpwebrequ to work in visual web developer like that . intellisense show a create and createdefault , but no createhttp like there be in window phone 7 . i just need to figure out how to fetch the page , i assume the parsing will be the same as on my phone app . any help ? thanks , amanda",136,0
15052,Questions,". NET library for generating javascript? 
 Do you know of a . NET library for generating javascript code? I want to generate javascript code based on information in my . NET application. I would like to be able to create an AST-like datastructure (using C ) and have it turned into valid javascript. I need to be able to create functions, statements, expressions etc. , so I need something more than a JSON serializer - but I guess you could think of this as a ( very ) generalized JSON serializer. Do such libraries exist and if so, could you recommend any? Thank you.",". net library for generate javascript ? do you know of a . net library for generate javascript code ? i want to generate javascript code base on information in my . net application . i would like to be able to create an ast-like datastructure -LRB- use c -RRB- and have it turn into valid javascript . i need to be able to create function , statement , expression etc. , so i need something more than a json serializer - but i guess you could think of this as a -LRB- very -RRB- generalize json serializer . do such library exist and if so , could you recommend any ? thank you .",105,0.6666666666666666
15053,Questions,"SQL Server : procedure call, inline concatenation impossible? 
 I'm using SQL Server 2008 R2 and was wondering if there is another way of writing something like or so that these procedure calls actually work , without putting the whole stuff into a variable first.","sql server : procedure call , inline concatenation impossible ? i 'm use sql server 2008 r2 and be wonder if there be another way of write something like or so that these procedure call actually work , without put the whole stuff into a variable first .",45,0.8
